coingecko_id,token_address,decimals
convex-crv,0x62b9c7356a2dc64a1969e19c23e4f579f9810aa7,18
huobi-btc,0x0316eb71485b0ab14103307bf65a021042c6d380,18
0x,0xe41d2489571d322189246dafa5ebde1f4699f498,18
golem,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,18
space-id,0x2dff88a56767223a5529ea5960da7a3f5f766406,18
bone-shibaswap,0x9813037ee2218799597d83d4a5b6f3b6778218d9,18
band-protocol,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,18
astrafer,0x97bbbc5d96875fb78d2f14b7ff8d7a3a74106f17,18
ssv-network,0x9d65ff81a3c488d585bbfb0bfe3c7707c7917f54,18
escoin-token,0xa2085073878152ac3090ea13d1e41bd69e60dc99,18
sushi,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,18
amp-token,0xff20817765cb7f73d4bde2e66e067e58d11095c2,18
biconomy,0xf17e65822b568b3903685a7c9f496cf7656cc6c2,18
tether-eurt,0xc581b735a1688071a1746c968e0798d642ede491,6
waves,0x1cf4592ebffd730c7dc92c1bdffdfc3b9efcf29a,18
dao-maker,0x0f51bb10119727a7e5ea3538074fb341f56b09ad,18
mx-token,0x11eef04c884e24d9b7b4760e7476d06ddf797f36,18
blox,0x177d39ac676ed1c67a2b268ad7f1e58826e5b0af,18
liquity,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,18
multichain,0x65ef703f5594d2573eb71aaf55bc0cb548492df4,18
reserve-rights-token,0x320623b8e4ff03373931769a31fc52a4e78b5d70,18
omisego,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,18
skale,0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7,18
ecomi,0xed35af169af46a02ee13b9d79eb57d6d68c1749e,18
bora,0x26fb86579e371c7aedc461b2ddef0a8628c93d3b,18
alchemy-pay,0xed04915c23f00a313a544955524eb7dbd823143d,8
swissborg,0xba9d4199fab4f26efe3551d490e3821486f135ba,8
insure,0xcb86c6a22cb56b6cf40cafedb06ba0df188a416e,18
lukso-token,0xa8b919680258d369114910511cc87595aec0be6d,18
dogelon-mars,0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3,18
synapse-2,0x0f2d719407fdbeff09d87557abb7232601fd9f29,18
bolide,0x8a7adc1b690e81c758f1bd0f72dfe27ae6ec56a5,18
telcoin,0x467bccd9d29f223bce8043b84e8c8b282827790f,2
livepeer,0x58b6a8a3302369daec383334672404ee733ab239,18
fuc,0x62a116b9ffe7338bee13c87e69552de9cc67627d,18
ocean-protocol,0x967da4048cd07ab37855c090aaf366e4ce1b9f48,18
flex-coin,0xfcf8eda095e37a41e002e266daad7efc1579bc0a,18
evmos,0x93581991f68dbae1ea105233b67f7fa0d6bdee7b,18
alchemix-usd,0xbc6da0fe9ad5f3b0d58160288917aa56653660e9,18
cartesi,0x491604c0fdf08347dd1fa4ee062a822a5dd06b5d,18
staked-frax-ether,0xac3e018457b222d93114458476f3e3416abbe38f,18
origintrail,0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f,18
illuvium,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,18
polymath,0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec,18
seth2,0xfe2e637202056d30016725477c5da089ab0a043a,18
uma,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,18
nucypher,0x4fe83213d56308330ec302a8bd641f1d0113a4cc,18
metis-token,0x9e32b13ce7f2e80a01932b42553652e053d6ed8e,18
celsius-degree-token,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,4
stargate-finance,0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6,18
aelf,0xbf2179859fc6d5bee9bf9158632dc51678a4100e,18
api3,0x0b38210ea11411557c13457d4da7dc6ea731b88a,18
aragon,0xa117000000f279d81a1d3cc75430faa017fa5a2e,18
tribe-2,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,18
stasis-eurs,0xdb25f211ab05b1c97d595516f45794528a807ad8,2
ribbon-finance,0x6123b0049f904d730db3c36a31167d9d4121fa6b,18
merit-circle,0x949d48eca67b17269629c7194f4b727d4ef9e5d6,18
celer-network,0x4f9254c83eb525f9fcf346490bbb3ed28a81c667,18
tominet,0x4385328cc4d643ca98dfea734360c0f596c83449,18
iexec-rlc,0x607f4c5bb672230e8672085532f7e901544a7375,9
kyber-network-crystal,0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,18
playdapp,0x3a4f40631a4f906c2bad353ed06de7a5d3fcb430,18
coin98,0xae12c5930881c53715b369cec7606b70d8eb229f,18
pundi-x-2,0x0fd10b9899882a6f2fcb5c371e17e70fdee00c38,18
hashflow,0xb3999f658c0391d94a37f7ff328f3fec942bcadc,18
vvs-finance,0x839e71613f9aa06e5701cf6de63e303616b0dde3,18
smooth-love-potion,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,0
constitutiondao,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,18
everscale,0x29d578cec46b50fa5c88a99c6a4b70184c062953,9
coinex-token,0x081f67afa0ccf8c7b17540767bbe95df2ba8d97f,18
fx-coin,0x8c15ef5b4b21951d50e53e4fbda8298ffad25057,18
e-radix,0x6468e79a80c0eab0f9a2b574c8d5bc374af59414,18
my-neighbor-alice,0xac51066d7bec65dc4589368da368b212745d63e8,6
axelar,0x467719ad09025fcc6cf6f8311755809d45a5e5f3,6
numeraire,0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,18
gitcoin,0xde30da39c46104798bb5aa3fe8b9e0e1f348163f,18
status,0x744d70fdbe2ba4cf95131626614a1763df805b9e,18
