date,block_number,token_address,token_name,token_decimals,balance,escrow_address,escrow_address_rdbl,timestamp,price,balance_usd,token_amount,balance_eth
2023-02-15,16637574,0xae78736Cd615f374D3085123A210448E74Fc6393,rocket-pool-eth,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-15,1793.0085041912102,0.0,0.0,0.0
2023-02-15,16637574,0x111111111117dC0aa78b770fA6A738034120C302,1inch,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-15,0.5623179383815075,0.0,0.0,0.0
2023-02-15,16637574,0xcf0C122c6b73ff809C693DB761e7BaeBe62b6a2E,floki,9,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-15,3.76017696310553e-05,0.0,0.0,0.0
2023-02-15,16637574,0xba100000625a3754423978a60c9317c58a424e3D,balancer,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-15,7.1732386156976204,0.0,0.0,0.0
2023-02-15,16637574,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,liquity-usd,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-15,1.004681412646972,0.0,0.0,0.0
2023-02-15,16637574,0x6DEA81C8171D0bA574754EF6F8b412F2Ed88c54D,liquity,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-15,0.8302284272725146,0.0,0.0,0.0
2023-02-15,16637574,0x8A7aDc1B690E81c758F1BD0F72DFe27Ae6eC56A5,bolide,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-15,0.021738636418455016,0.0,0.0,0.0
2023-02-15,16637574,0xdeFA4e8a7bcBA345F687a2f1456F5Edd9CE97202,kyber-network-crystal,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-15,0.8447749982515701,0.0,0.0,0.0
2023-02-15,16637574,0xbC396689893D065F41bc2C6EcbeE5e0085233447,perpetual-protocol,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-15,0.6288084498083752,0.0,0.0,0.0
2023-02-15,16637574,0xA49d7499271aE71cd8aB9Ac515e6694C755d400c,mute,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-15,1.2431212513319645,0.0,0.0,0.0
2023-02-16,16644732,0xdAC17F958D2ee523a2206206994597C13D831ec7,tether,6,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-16,0.9970844519666378,0.0,0.0,0.0
2023-02-16,16644732,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-16,0.9998100161521021,0.0,0.0,0.0
2023-02-16,16644732,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,shiba-inu,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-16,1.2749051210629739e-05,0.0,0.0,0.0
2023-02-16,16644732,0x4Fabb145d64652a948d72533023f6E7A623C7C53,binance-usd,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-16,1.0001956879622191,0.0,0.0,0.0
2023-02-16,16644732,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,wrapped-bitcoin,8,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-16,24115.74022437772,0.0,0.0,0.0
2023-02-16,16644732,0xD33526068D116cE69F19A9ee46F0bd304F21A51f,rocket-pool,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-16,48.37884991324277,0.0,0.0,0.0
2023-02-16,16644732,0x4691937a7508860F876c9c0a2a617E7d9E945D4B,woo-network,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-16,0.22155533146506454,0.0,0.0,0.0
2023-02-16,16644732,0xae78736Cd615f374D3085123A210448E74Fc6393,rocket-pool-eth,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-16,1770.010874994129,0.0,0.0,0.0
2023-02-16,16644732,0x111111111117dC0aa78b770fA6A738034120C302,1inch,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-16,0.5415015612483385,0.0,0.0,0.0
2023-02-16,16644732,0xcf0C122c6b73ff809C693DB761e7BaeBe62b6a2E,floki,9,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-16,5.517166094255813e-05,0.0,0.0,0.0
2023-02-16,16644732,0xba100000625a3754423978a60c9317c58a424e3D,balancer,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-16,7.0403205105821325,0.0,0.0,0.0
2023-02-16,16644732,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,liquity-usd,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-16,0.9999323440803132,0.0,0.0,0.0
2023-02-16,16644732,0x6DEA81C8171D0bA574754EF6F8b412F2Ed88c54D,liquity,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-16,0.945826676152685,0.0,0.0,0.0
2023-02-16,16644732,0x8A7aDc1B690E81c758F1BD0F72DFe27Ae6eC56A5,bolide,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-16,0.02175330427084698,0.0,0.0,0.0
2023-02-16,16644732,0xdeFA4e8a7bcBA345F687a2f1456F5Edd9CE97202,kyber-network-crystal,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-16,0.8139424439266417,0.0,0.0,0.0
2023-02-16,16644732,0xbC396689893D065F41bc2C6EcbeE5e0085233447,perpetual-protocol,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-16,0.6495838699662674,0.0,0.0,0.0
2023-02-16,16644732,0xA49d7499271aE71cd8aB9Ac515e6694C755d400c,mute,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-16,1.3371742363034589,0.0,0.0,0.0
2023-02-17,16651829,0xdAC17F958D2ee523a2206206994597C13D831ec7,tether,6,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-17,1.0011938775359464,0.0,0.0,0.0
2023-02-17,16651829,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-17,0.9996696556128252,0.0,0.0,0.0
2023-02-17,16651829,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,shiba-inu,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-17,1.3196302636986925e-05,0.0,0.0,0.0
2023-02-17,16651829,0x4Fabb145d64652a948d72533023f6E7A623C7C53,binance-usd,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-17,1.0029004333987777,0.0,0.0,0.0
2023-02-17,16651829,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,wrapped-bitcoin,8,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-17,24582.05889959595,0.0,0.0,0.0
2023-02-17,16651829,0xD33526068D116cE69F19A9ee46F0bd304F21A51f,rocket-pool,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-17,52.671848555150966,0.0,0.0,0.0
2023-02-17,16651829,0x4691937a7508860F876c9c0a2a617E7d9E945D4B,woo-network,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-17,0.2366414766260244,0.0,0.0,0.0
2023-02-17,16651829,0xae78736Cd615f374D3085123A210448E74Fc6393,rocket-pool-eth,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-17,1820.37295679264,0.0,0.0,0.0
2023-02-17,16651829,0x111111111117dC0aa78b770fA6A738034120C302,1inch,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-17,0.565604365062337,0.0,0.0,0.0
2023-02-17,16651829,0xcf0C122c6b73ff809C693DB761e7BaeBe62b6a2E,floki,9,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-17,5.295093503918811e-05,0.0,0.0,0.0
2023-02-17,16651829,0xba100000625a3754423978a60c9317c58a424e3D,balancer,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-17,7.255579325358944,0.0,0.0,0.0
2023-02-17,16651829,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,liquity-usd,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-17,1.0048315968241444,0.0,0.0,0.0
2023-02-17,16651829,0x6DEA81C8171D0bA574754EF6F8b412F2Ed88c54D,liquity,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-17,0.9469839676511868,0.0,0.0,0.0
2023-02-17,16651829,0x8A7aDc1B690E81c758F1BD0F72DFe27Ae6eC56A5,bolide,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-17,0.02175327237932631,0.0,0.0,0.0
2023-02-17,16651829,0xdeFA4e8a7bcBA345F687a2f1456F5Edd9CE97202,kyber-network-crystal,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-17,0.8456473879710212,0.0,0.0,0.0
2023-02-17,16651829,0xbC396689893D065F41bc2C6EcbeE5e0085233447,perpetual-protocol,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-17,0.7261913788070998,0.0,0.0,0.0
2023-02-17,16651829,0xA49d7499271aE71cd8aB9Ac515e6694C755d400c,mute,18,10.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-17,1.4813937302962554,14.813937302962554,1e+19,10.0
2023-02-18,16658938,0xdAC17F958D2ee523a2206206994597C13D831ec7,tether,6,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-18,0.9995695065124056,0.0,0.0,0.0
2023-02-18,16658938,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-18,0.9993488781341396,0.0,0.0,0.0
2023-02-18,16658938,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,shiba-inu,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-18,1.3190210279792745e-05,0.0,0.0,0.0
2023-02-18,16658938,0x4Fabb145d64652a948d72533023f6E7A623C7C53,binance-usd,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-18,0.9988995422812472,0.0,0.0,0.0
2023-02-18,16658938,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,wrapped-bitcoin,8,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-18,24587.541879336688,0.0,0.0,0.0
2023-02-18,16658938,0xD33526068D116cE69F19A9ee46F0bd304F21A51f,rocket-pool,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-18,53.43670525711154,0.0,0.0,0.0
2023-02-18,16658938,0x4691937a7508860F876c9c0a2a617E7d9E945D4B,woo-network,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-18,0.261817950471894,0.0,0.0,0.0
2023-02-18,16658938,0xae78736Cd615f374D3085123A210448E74Fc6393,rocket-pool-eth,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-18,1814.5053734485489,0.0,0.0,0.0
2023-02-18,16658938,0x111111111117dC0aa78b770fA6A738034120C302,1inch,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-18,0.5737493114897634,0.0,0.0,0.0
2023-02-18,16658938,0xcf0C122c6b73ff809C693DB761e7BaeBe62b6a2E,floki,9,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-18,5.0884217301209696e-05,0.0,0.0,0.0
2023-02-18,16658938,0xba100000625a3754423978a60c9317c58a424e3D,balancer,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-18,7.366860689361843,0.0,0.0,0.0
2023-02-18,16658938,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,liquity-usd,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-18,1.0011408845637384,0.0,0.0,0.0
2023-02-18,16658938,0x6DEA81C8171D0bA574754EF6F8b412F2Ed88c54D,liquity,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-18,0.944950297422962,0.0,0.0,0.0
2023-02-18,16658938,0x8A7aDc1B690E81c758F1BD0F72DFe27Ae6eC56A5,bolide,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-18,0.021797848433184025,0.0,0.0,0.0
2023-02-18,16658938,0xdeFA4e8a7bcBA345F687a2f1456F5Edd9CE97202,kyber-network-crystal,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-18,0.8661177845543968,0.0,0.0,0.0
2023-02-18,16658938,0xbC396689893D065F41bc2C6EcbeE5e0085233447,perpetual-protocol,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-18,0.7682509896844435,0.0,0.0,0.0
2023-02-18,16658938,0xA49d7499271aE71cd8aB9Ac515e6694C755d400c,mute,18,10.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-18,1.2879027791472446,12.879027791472444,1e+19,10.0
2023-02-19,16666055,0xdAC17F958D2ee523a2206206994597C13D831ec7,tether,6,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-19,1.0000244542938272,0.0,0.0,0.0
2023-02-19,16666055,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-19,0.9997268333494764,0.0,0.0,0.0
2023-02-19,16666055,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,shiba-inu,18,0.0,0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063,ZkSyncErc20Escrow,2023-02-19,1.3502357162201844e-05,0.0,0.0,0.0
