Date,Block Number
2020-10-17,11076576
2020-10-18,11083026
2020-10-19,11089620
2020-10-20,11096125
2020-10-21,11102638
2020-10-22,11109176
2020-10-23,11115650
2020-10-24,11122232
2020-10-25,11128711
2020-10-26,11135177
2020-10-27,11141722
2020-10-28,11148273
2020-10-29,11154799
2020-10-30,11161290
2020-10-31,11167816
2020-11-01,11174327
2020-11-02,11180801
2020-11-03,11187319
2020-11-04,11193846
2020-11-05,11200360
2020-11-06,11206899
2020-11-07,11213399
2020-11-08,11219937
2020-11-09,11226444
2020-11-10,11232896
2020-11-11,11239424
2020-11-12,11245936
2020-11-13,11252470
2020-11-14,11259012
2020-11-15,11265558
2020-11-16,11272034
2020-11-17,11278559
2020-11-18,11285015
2020-11-19,11291624
2020-11-20,11298076
2020-11-21,11304642
2020-11-22,11311151
2020-11-23,11317602
2020-11-24,11324169
2020-11-25,11330638
2020-11-26,11337171
2020-11-27,11343588
2020-11-28,11350187
2020-11-29,11356699
2020-11-30,11363269
2020-12-01,11369788
2020-12-02,11376229
2020-12-03,11382788
2020-12-04,11389237
2020-12-05,11395732
2020-12-06,11402290
2020-12-07,11408755
2020-12-08,11415239
2020-12-09,11421842
2020-12-10,11428267
2020-12-11,11434753
2020-12-12,11441244
2020-12-13,11447731
2020-12-14,11454255
2020-12-15,11460744
2020-12-16,11467279
2020-12-17,11473819
2020-12-18,11480310
2020-12-19,11486824
2020-12-20,11493366
2020-12-21,11499870
2020-12-22,11506372
2020-12-23,11512969
2020-12-24,11519439
2020-12-25,11525874
2020-12-26,11532457
2020-12-27,11538965
2020-12-28,11545562
2020-12-29,11551972
2020-12-30,11558516
2020-12-31,11565018
2021-01-01,11571563
2021-01-02,11578164
2021-01-03,11584640
2021-01-04,11591157
2021-01-05,11597689
2021-01-06,11604174
2021-01-07,11610610
2021-01-08,11617203
2021-01-09,11623679
2021-01-10,11630233
2021-01-11,11636761
2021-01-12,11643316
2021-01-13,11649877
2021-01-14,11656283
2021-01-15,11662864
2021-01-16,11669372
2021-01-17,11675866
2021-01-18,11682362
2021-01-19,11688895
2021-01-20,11695473
2021-01-21,11701951
2021-01-22,11708432
2021-01-23,11714973
2021-01-24,11721454
2021-01-25,11727978
2021-01-26,11734492
2021-01-27,11740960
2021-01-28,11747458
2021-01-29,11753911
2021-01-30,11760301
2021-01-31,11766938
2021-02-01,11773427
2021-02-02,11779921
2021-02-03,11786405
2021-02-04,11792921
2021-02-05,11799368
2021-02-06,11805887
2021-02-07,11812441
2021-02-08,11818909
2021-02-09,11825394
2021-02-10,11831922
2021-02-11,11838439
2021-02-12,11844963
2021-02-13,11851386
2021-02-14,11857945
2021-02-15,11864441
2021-02-16,11870926
2021-02-17,11877475
2021-02-18,11883922
2021-02-19,11890499
2021-02-20,11896994
2021-02-21,11903479
2021-02-22,11909975
2021-02-23,11916477
2021-02-24,11922946
2021-02-25,11929461
2021-02-26,11936003
2021-02-27,11942492
2021-02-28,11948959
2021-03-01,11955435
2021-03-02,11961985
2021-03-03,11968393
2021-03-04,11974908
2021-03-05,11981433
2021-03-06,11987996
2021-03-07,11994473
2021-03-08,12000973
2021-03-09,12007406
2021-03-10,12013938
2021-03-11,12020353
2021-03-12,12026823
2021-03-13,12033335
2021-03-14,12039857
2021-03-15,12046294
2021-03-16,12052814
2021-03-17,12059298
2021-03-18,12065799
2021-03-19,12072305
2021-03-20,12078832
2021-03-21,12085253
2021-03-22,12091743
2021-03-23,12098248
2021-03-24,12104732
2021-03-25,12111246
2021-03-26,12117785
2021-03-27,12124270
2021-03-28,12130763
2021-03-29,12137274
2021-03-30,12143792
2021-03-31,12150244
2021-04-01,12156760
2021-04-02,12163214
2021-04-03,12169741
2021-04-04,12176302
2021-04-05,12182812
2021-04-06,12189295
2021-04-07,12195832
2021-04-08,12202287
2021-04-09,12208744
2021-04-10,12215326
2021-04-11,12221872
2021-04-12,12228388
2021-04-13,12234862
2021-04-14,12241311
2021-04-15,12247811
2021-04-16,12254244
2021-04-17,12260711
2021-04-18,12267212
2021-04-19,12273612
2021-04-20,12280192
2021-04-21,12286711
2021-04-22,12293128
2021-04-23,12299578
2021-04-24,12306078
2021-04-25,12312587
2021-04-26,12319058
2021-04-27,12325546
2021-04-28,12332009
2021-04-29,12338493
2021-04-30,12344944
2021-05-01,12351433
2021-05-02,12357851
2021-05-03,12364358
2021-05-04,12370862
2021-05-05,12377380
2021-05-06,12383846
2021-05-07,12390293
2021-05-08,12396779
2021-05-09,12403257
2021-05-10,12409774
2021-05-11,12416221
2021-05-12,12422660
2021-05-13,12429198
2021-05-14,12435675
2021-05-15,12442149
2021-05-16,12448607
2021-05-17,12455026
2021-05-18,12461489
2021-05-19,12467912
2021-05-20,12474375
2021-05-21,12480785
2021-05-22,12487247
2021-05-23,12493701
2021-05-24,12500188
2021-05-25,12506592
2021-05-26,12513023
2021-05-27,12519448
2021-05-28,12525911
2021-05-29,12532378
2021-05-30,12538795
2021-05-31,12545218
2021-06-01,12551696
2021-06-02,12558202
2021-06-03,12564606
2021-06-04,12571125
2021-06-05,12577559
2021-06-06,12584091
2021-06-07,12590522
2021-06-08,12596997
2021-06-09,12603434
2021-06-10,12609896
2021-06-11,12616350
2021-06-12,12622784
2021-06-13,12629257
2021-06-14,12635688
2021-06-15,12642193
2021-06-16,12648592
2021-06-17,12655064
2021-06-18,12661469
2021-06-19,12667895
2021-06-20,12674364
2021-06-21,12680680
2021-06-22,12687117
2021-06-23,12693546
2021-06-24,12699964
2021-06-25,12706306
2021-06-26,12712733
2021-06-27,12719181
2021-06-28,12725647
2021-06-29,12732053
2021-06-30,12738508
2021-07-01,12744858
2021-07-02,12751295
2021-07-03,12757712
2021-07-04,12764170
2021-07-05,12770589
2021-07-06,12777014
2021-07-07,12783404
2021-07-08,12789854
2021-07-09,12796260
2021-07-10,12802707
2021-07-11,12809130
2021-07-12,12815507
2021-07-13,12821814
2021-07-14,12828204
2021-07-15,12834631
2021-07-16,12840970
2021-07-17,12847327
2021-07-18,12853698
2021-07-19,12860133
2021-07-20,12866472
2021-07-21,12872886
2021-07-22,12879308
2021-07-23,12885654
2021-07-24,12892111
2021-07-25,12898512
